id,name,city,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday,comments,brew_type,website,x,y,state,zip
29,Urban Growler Brewing Co,St Paul,2325 Endicott St,,11am-10pm,11am-10pm,11am-10pm,11am-11pm,11am-11pm,11am-8pm,,Brewery,http://www.urbangrowlerbrewing.com/,-93.192894471999978,44.970083093000028,MN,55114
30,Lake Monster Brewing,St Paul,550 Vandalia St,4pm-10pm,4pm-10pm,4pm-10pm,4pm-10pm,2pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.lakemonsterbrewing.com/,-93.190910544999952,44.957685494000025,MN,55114
31,Dual Citizen Brewing,St Paul,735 Raymond Ave,,,,,,,,,,,-93.197998486999950,44.963255045000039,MN,55114
32,Burning Brothers Brewing Co,St Paul,1750 W Thomas Ave,,,4pm-10pm,4pm-10pm,2pm-10pm,12pm-10pm,12pm-6pm,,Brewery,http://www.burnbrosbrew.com/,-93.174538921999954,44.958998207000022,MN,55104
33,Summit Brewing Co,St Paul,910 Montreal Cir,,,,4pm-8pm,4pm-10pm,12pm-10pm,,"2014 - 132,870 barrels produced (2nd in MN)",Brewery,http://www.summitbrewing.com/,-93.139771740999947,44.913589183000049,MN,55102
34,Bad Weather Brewing Co,St Paul,414 7th St W,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,3pm-12am,12pm-12am,12pm-9pm,,Brewery,http://www.badweatherbrewery.com/,-93.110051127999952,44.938628395000080,MN,55102
36,Wabasha Brewing Co,St Paul,429 Wabasha St S,,4pm-10pm,3pm-10pm,3pm-11pm,3pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://www.wabashabrewing.com/,-93.084701206999966,44.932936077000079,MN,55107
37,Flat Earth Brewing Co,St Paul,688 Minnehaha Ave E,,3:30pm-9:30pm,3:30pm-8pm,3:30pm-10pm,3:30pm-11pm,12pm-11pm,12pm-6:30pm,,Brewery,http://www.flatearthbrewing.com/,-93.071828687999968,44.962296824000070,MN,55106
38,BlackStack Brewing Co,St Paul,755 Prior Ave N,4pm-11pm,4pm-11pm,4pm-11pm,4pm-11pm,12pm-12am,12pm-12am,12pm-10pm,,Brewery,http://www.blackstackbrewing.com/,-93.182472520999966,44.963793387000074,MN,55104
39,LowerTown Brewing Co,St Paul,282 6th St E,,,,,,,,,,http://www.lowertownbrewery.ca/,-93.086726454999948,44.950411627000051,MN,55101
40,Barrel Theory,St Paul,248 E 7th Street,,,3pm-10pm,3pm-10pm,3pm-10pm,12pm-10pm,12pm-8pm,,Brewery,https://barreltheory.com/,-93.088253759999986,44.950900431000029,MN,55101
41,Yoerg Brewing Co,St Paul,427 Wabasha St S,,,,,,,,,Brewery,http://yoergbeer.com,-93.084573310999971,44.933184986000057,MN,55107
42,Waldmann Brewing,St Paul,445 Smith Ave,,11am - 10pm,11am - 10pm,11am - 10pm,11am - 12am,11am - 12am,11am - 9pm,,Brewery,http://waldmannbrewery.com,-93.109556535999957,44.938302348000029,MN,55102
43,Clutch Brewing,St Paul,399 Webster St,,,,,,,,,Brewery,http://clutchbeer.com,-93.124589574999959,44.928743206000028,MN,55102
44,12welve Eyes Brewing Co,St Paul,141 E 4th St,4pm-9pm,4pm-9pm,4pm-9pm,4pm-9pm,3pm-10pm,12pm-10pm,12pm-8pm,,Brewery,https://12welveeyes.com/,-93.089516695999976,44.947054244000064,MN,55101
45,Culhane Brewing Co,St Paul,201 4th St. E,,,,,,,,,Brewery,http://culhanebrewing.com/menu/,-93.087380665999945,44.948130381000041,MN,55101
46,Stacked Deck Brewing Co,St Paul,425 Cedar St,,,,,,,,,,http://www.stackeddeckbrewing.com/,-93.094669632999967,44.947278244000067,MN,55101
47,Alloy Brewing Co,Coon Rapids,2700 Coon Rapids Blvd,,,4pm-10pm,4pm-10pm,4pm-11pm,12pm-11pm,12pm-8pm,,Brewery,https://www.alloybrewingcompany.com/,-93.336694299999991,45.169586524000060,MN,55433
49,Bald Man Brewing Co,Eagan,2020 Silver Bell Rd,,3pm-11pm,3pm-11pm,3pm-11pm,11am-12am,11am-12am,11am-8pm,,Brewery,http://baldmanbrewing.com,-93.210891644999933,44.819624382000036,MN,55122
50,Spilled Grain Brewhouse,Annandale,300 Elm St E,,,,4pm-10pm,3pm-11pm,11am-11pm,12pm-6pm,,Brewery,http://www.spilledgrainbrewhouse.com/,-94.118441808999989,45.259513221000084,MN,55302
51,OMNI Brewing Co,Osseo,9462 Deerwood Lane N,,3pm-10pm,3pm-10pm,3pm-10pm,12pm-11pm,12pm-11pm,12pm-10pm,,Brewery,https://www.omnibrewing.com/,-93.425413910999964,45.126449713000056,MN,55369
